districtid,timeid,cases
AN_Unknown,1,33
AN_Unknown,2,7
AN_Unknown,3,131
AN_Unknown,4,2015
AN_Unknown,5,1371
AN_Unknown,6,489
AN_Unknown,7,481
AN_Unknown,8,307
AN_Unknown,9,142
AN_Unknown,10,33
AN_Unknown,11,22
AN_Unknown,12,216
AN_Unknown,13,1295
AN_Unknown,14,727
AN_Unknown,15,230
AN_Unknown,16,49
AP_Anantapur,1,118
AP_Anantapur,2,345
AP_Anantapur,3,3188
AP_Anantapur,4,24445
AP_Anantapur,5,21693
AP_Anantapur,6,11821
AP_Anantapur,7,4493
AP_Anantapur,8,911
AP_Anantapur,9,535
AP_Anantapur,10,146
AP_Anantapur,11,162
AP_Anantapur,12,2224
AP_Anantapur,13,37805
AP_Anantapur,14,41980
AP_Anantapur,15,5409
AP_Anantapur,16,1496
AP_Chittoor,1,151
AP_Chittoor,2,202
AP_Chittoor,3,2721
AP_Chittoor,4,18445
AP_Chittoor,5,28627
AP_Chittoor,6,21579
AP_Chittoor,7,10250
AP_Chittoor,8,2914
AP_Chittoor,9,1810
AP_Chittoor,10,510
AP_Chittoor,11,861
AP_Chittoor,12,8103
AP_Chittoor,13,54995
AP_Chittoor,14,57810
AP_Chittoor,15,16513
AP_Chittoor,16,9380
AP_East Godavari,1,51
AP_East Godavari,2,301
AP_East Godavari,3,2763
AP_East Godavari,4,35177
AP_East Godavari,5,39928
AP_East Godavari,6,29668
AP_East Godavari,7,12414
AP_East Godavari,8,2714
AP_East Godavari,9,1011
AP_East Godavari,10,333
AP_East Godavari,11,286
AP_East Godavari,12,2460
AP_East Godavari,13,49697
AP_East Godavari,14,71663
AP_East Godavari,15,22683
AP_East Godavari,16,11240
AP_Guntur,1,404
AP_Guntur,2,219
AP_Guntur,3,2733
AP_Guntur,4,21584
AP_Guntur,5,21064
AP_Guntur,6,14953
AP_Guntur,7,9833
AP_Guntur,8,3178
AP_Guntur,9,1275
AP_Guntur,10,372
AP_Guntur,11,296
AP_Guntur,12,7606
AP_Guntur,13,46209
AP_Guntur,14,27837
AP_Guntur,15,7853
AP_Guntur,16,5077
AP_Krishna,1,351
AP_Krishna,2,350
AP_Krishna,3,2043
AP_Krishna,4,9039
AP_Krishna,5,9692
AP_Krishna,6,11435
AP_Krishna,7,10134
AP_Krishna,8,3677
AP_Krishna,9,1564
AP_Krishna,10,535
AP_Krishna,11,332
AP_Krishna,12,4379
AP_Krishna,13,20979
AP_Krishna,14,21343
AP_Krishna,15,8908
AP_Krishna,16,6838
AP_Kurnool,1,591
AP_Kurnool,2,385
AP_Kurnool,3,2847
AP_Kurnool,4,28189
AP_Kurnool,5,19954
AP_Kurnool,6,6467
AP_Kurnool,7,1482
AP_Kurnool,8,501
AP_Kurnool,9,298
AP_Kurnool,10,133
AP_Kurnool,11,114
AP_Kurnool,12,2752
AP_Kurnool,13,34742
AP_Kurnool,14,21248
AP_Kurnool,15,3006
AP_Kurnool,16,863
AP_Prakasam,1,63
AP_Prakasam,2,38
AP_Prakasam,3,1137
AP_Prakasam,4,9525
AP_Prakasam,5,26123
AP_Prakasam,6,18360
AP_Prakasam,7,5668
AP_Prakasam,8,890
AP_Prakasam,9,303
AP_Prakasam,10,86
AP_Prakasam,11,59
AP_Prakasam,12,2104
AP_Prakasam,13,24327
AP_Prakasam,14,26602
AP_Prakasam,15,10155
AP_Prakasam,16,6347
AP_S.P.S. Nellore,1,126
AP_S.P.S. Nellore,2,270
AP_S.P.S. Nellore,3,1023
AP_S.P.S. Nellore,4,14750
AP_S.P.S. Nellore,5,27961
