districtid,timeid,dose1,dose2
AN_Nicobars,1,360.0,0.0
AN_Nicobars,2,387.0,304.0
AN_Nicobars,3,4893.0,227.0
AN_Nicobars,4,2713.0,1356.0
AN_Nicobars,5,429.0,19.0
AN_Nicobars,6,8724.0,4665.0
AN_Nicobars,7,4575.0,1539.0
AN_North and Middle Andaman,1,1113.0,0.0
AN_North and Middle Andaman,2,904.0,942.0
AN_North and Middle Andaman,3,13204.0,545.0
AN_North and Middle Andaman,4,14791.0,1725.0
AN_North and Middle Andaman,5,3629.0,80.0
AN_North and Middle Andaman,6,17273.0,20461.0
AN_North and Middle Andaman,7,17129.0,5528.0
AN_South Andaman,1,1567.0,0.0
AN_South Andaman,2,7118.0,1522.0
AN_South Andaman,3,20108.0,2401.0
AN_South Andaman,4,32532.0,5786.0
AN_South Andaman,5,12884.0,465.0
AN_South Andaman,6,34384.0,29158.0
AN_South Andaman,7,33992.0,20564.0
AP_Anantapur,1,15323.0,730.0
AP_Anantapur,2,37664.0,12739.0
AP_Anantapur,3,247138.0,19856.0
AP_Anantapur,4,145179.0,138488.0
AP_Anantapur,5,255680.0,31260.0
AP_Anantapur,6,331417.0,101799.0
AP_Anantapur,7,331973.0,292474.0
AP_Chittoor,1,30004.0,340.0
AP_Chittoor,2,51481.0,21464.0
AP_Chittoor,3,301198.0,29836.0
AP_Chittoor,4,142743.0,138756.0
AP_Chittoor,5,290964.0,46657.0
AP_Chittoor,6,344063.0,84497.0
AP_Chittoor,7,405138.0,319314.0
AP_East Godavari,1,40366.0,301.0
AP_East Godavari,2,57430.0,25601.0
AP_East Godavari,3,284349.0,39754.0
AP_East Godavari,4,117227.0,139769.0
AP_East Godavari,5,449337.0,49546.0
AP_East Godavari,6,459931.0,110817.0
AP_East Godavari,7,518850.0,186685.0
AP_Guntur,1,22279.0,1086.0
AP_Guntur,2,53718.0,17868.0
AP_Guntur,3,259840.0,33024.0
AP_Guntur,4,161797.0,112864.0
AP_Guntur,5,368959.0,65573.0
AP_Guntur,6,464820.0,115211.0
AP_Guntur,7,427122.0,246815.0
AP_Krishna,1,24659.0,525.0
AP_Krishna,2,47857.0,20469.0
AP_Krishna,3,289038.0,25617.0
AP_Krishna,4,133678.0,142162.0
AP_Krishna,5,440711.0,68656.0
AP_Krishna,6,375048.0,131110.0
AP_Krishna,7,445270.0,169050.0
AP_Kurnool,1,21404.0,507.0
AP_Kurnool,2,30493.0,15074.0
AP_Kurnool,3,238431.0,20149.0
AP_Kurnool,4,99290.0,117334.0
AP_Kurnool,5,261402.0,26473.0
AP_Kurnool,6,284107.0,73875.0
AP_Kurnool,7,307565.0,239216.0
AP_Prakasam,1,21893.0,137.0
AP_Prakasam,2,26572.0,10598.0
AP_Prakasam,3,220967.0,23417.0
AP_Prakasam,4,106198.0,107527.0
AP_Prakasam,5,290723.0,53990.0
AP_Prakasam,6,321230.0,62132.0
AP_Prakasam,7,244329.0,257990.0
AP_S.P.S. Nellore,1,32205.0,656.0
AP_S.P.S. Nellore,2,41369.0,23078.0
AP_S.P.S. Nellore,3,208389.0,34130.0
AP_S.P.S. Nellore,4,109506.0,117798.0
AP_S.P.S. Nellore,5,260743.0,25673.0
AP_S.P.S. Nellore,6,260949.0,148451.0
AP_S.P.S. Nellore,7,244915.0,178903.0
AP_Srikakulam,1,25982.0,713.0
AP_Srikakulam,2,31735.0,19604.0
AP_Srikakulam,3,180152.0,18037.0
AP_Srikakulam,4,79204.0,73897.0
AP_Srikakulam,5,273621.0,19623.0
AP_Srikakulam,6,263582.0,87996.0
AP_Srikakulam,7,174293.0,117102.0
AP_Visakhapatnam,1,28630.0,241.0
AP_Visakhapatnam,2,53082.0,23442.0
AP_Visakhapatnam,3,283951.0,31362.0
AP_Visakhapatnam,4,144540.0,127856.0
AP_Visakhapatnam,5,452250.0,49829.0
AP_Visakhapatnam,6,453246.0,109245.0
AP_Visakhapatnam,7,459875.0,281184.0
AP_Vizianagaram,1,14857.0,342.0
AP_Vizianagaram,2,22691.0,12208.0
AP_Vizianagaram,3,163208.0,14968.0
AP_Vizianagaram,4,64345.0,69226.0
AP_Vizianagaram,5,215990.0,14838.0
AP_Vizianagaram,6,223189.0,47235.0
AP_Vizianagaram,7,216806.0,61200.0
AP_West Godavari,1,20160.0,104.0
AP_West Godavari,2,47196.0,17098.0
AP_West Godavari,3,219748.0,34808.0
AP_West Godavari,4,104282.0,109868.0
AP_West Godavari,5,400025.0,55813.0
AP_West Godavari,6,451595.0,55349.0
AP_West Godavari,7,399541.0,158923.0
AP_Y.S.R. Kadapa,1,15747.0,552.0
AP_Y.S.R. Kadapa,2,34619.0,11892.0
AP_Y.S.R. Kadapa,3,227708.0,22896.0
AP_Y.S.R. Kadapa,4,93022.0,115574.0
AP_Y.S.R. Kadapa,5,248502.0,31663.0
AP_Y.S.R. Kadapa,6,274484.0,85325.0
AP_Y.S.R. Kadapa,7,149352.0,127378.0
AR_Anjaw,1,387.0,0.0
AR_Anjaw,2,391.0,288.0
AR_Anjaw,3,971.0,325.0
AR_Anjaw,4,1253.0,625.0
AR_Anjaw,5,2368.0,21.0
AR_Anjaw,6,4370.0,334.0
AR_Anjaw,7,1182.0,956.0
AR_Changlang,1,968.0,0.0
AR_Changlang,2,2114.0,813.0
AR_Changlang,3,7617.0,1387.0
AR_Changlang,4,8032.0,2038.0
AR_Changlang,5,11005.0,396.0
AR_Changlang,6,35250.0,4923.0
AR_Changlang,7,10604.0,7349.0
AR_East Kameng,1,260.0,0.0
AR_East Kameng,2,676.0,256.0
AR_East Kameng,3,2351.0,516.0
AR_East Kameng,4,3264.0,1049.0
AR_East Kameng,5,5195.0,38.0
AR_East Kameng,6,5214.0,1392.0
AR_East Kameng,7,3461.0,2932.0
AR_East Siang,1,919.0,76.0
AR_East Siang,2,1647.0,891.0
AR_East Siang,3,8343.0,1464.0
AR_East Siang,4,6560.0,6033.0
AR_East Siang,5,5425.0,35.0
AR_East Siang,6,25956.0,3016.0
AR_East Siang,7,2471.0,4565.0
AR_Kamle,1,168.0,0.0
AR_Kamle,2,91.0,142.0
AR_Kamle,3,485.0,107.0
AR_Kamle,4,969.0,286.0
AR_Kamle,5,888.0,2.0
AR_Kamle,6,2143.0,269.0
AR_Kamle,7,1455.0,731.0
AR_Kra Daadi,1,205.0,0.0
AR_Kra Daadi,2,177.0,218.0
AR_Kra Daadi,3,764.0,83.0
AR_Kra Daadi,4,664.0,416.0
AR_Kra Daadi,5,1527.0,12.0
AR_Kra Daadi,6,1749.0,182.0
AR_Kra Daadi,7,751.0,830.0
AR_Kurung Kumey,1,467.0,0.0
AR_Kurung Kumey,2,310.0,276.0
AR_Kurung Kumey,3,2004.0,231.0
AR_Kurung Kumey,4,913.0,1415.0
AR_Kurung Kumey,5,1070.0,27.0
AR_Kurung Kumey,6,2270.0,350.0
AR_Kurung Kumey,7,1540.0,548.0
AR_Lepa Rada,1,602.0,0.0
AR_Lepa Rada,2,1070.0,550.0
AR_Lepa Rada,3,1875.0,638.0
AR_Lepa Rada,4,1326.0,1325.0
AR_Lepa Rada,5,1613.0,8.0
AR_Lepa Rada,6,5398.0,1183.0
AR_Lepa Rada,7,1072.0,1255.0
AR_Lohit,1,534.0,0.0
AR_Lohit,2,1354.0,381.0
AR_Lohit,3,2120.0,634.0
AR_Lohit,4,3111.0,968.0
AR_Lohit,5,3895.0,55.0
AR_Lohit,6,12351.0,1767.0
AR_Lohit,7,4521.0,2905.0
AR_Longding,1,396.0,61.0
AR_Longding,2,1161.0,187.0
AR_Longding,3,849.0,686.0
AR_Longding,4,1758.0,614.0
AR_Longding,5,3758.0,140.0
AR_Longding,6,7626.0,370.0
AR_Longding,7,2421.0,1207.0
AR_Lower Dibang Valley,1,225.0,0.0
AR_Lower Dibang Valley,2,1252.0,278.0
AR_Lower Dibang Valley,3,3590.0,992.0
AR_Lower Dibang Valley,4,3807.0,1267.0
AR_Lower Dibang Valley,5,3541.0,45.0
AR_Lower Dibang Valley,6,13632.0,2974.0
AR_Lower Dibang Valley,7,3679.0,2546.0
AR_Lower Siang,1,179.0,0.0
AR_Lower Siang,2,550.0,288.0
AR_Lower Siang,3,1033.0,361.0
AR_Lower Siang,4,2711.0,438.0
AR_Lower Siang,5,1882.0,18.0
AR_Lower Siang,6,5832.0,1189.0
AR_Lower Siang,7,3505.0,2273.0
AR_Lower Subansiri,1,554.0,79.0
AR_Lower Subansiri,2,1151.0,616.0
AR_Lower Subansiri,3,3553.0,853.0
AR_Lower Subansiri,4,2947.0,2505.0
AR_Lower Subansiri,5,5136.0,12.0
AR_Lower Subansiri,6,8186.0,1297.0
AR_Lower Subansiri,7,3285.0,2789.0
AR_Namsai,1,742.0,0.0
AR_Namsai,2,2253.0,849.0
AR_Namsai,3,3779.0,1201.0
AR_Namsai,4,7938.0,2457.0
AR_Namsai,5,7459.0,33.0
AR_Namsai,6,29601.0,2311.0
AR_Namsai,7,6074.0,5756.0
AR_Pakke Kessang,1,248.0,0.0
AR_Pakke Kessang,2,457.0,163.0
AR_Pakke Kessang,3,1089.0,363.0
AR_Pakke Kessang,4,1783.0,817.0
AR_Pakke Kessang,5,1086.0,50.0
AR_Pakke Kessang,6,1590.0,527.0
AR_Pakke Kessang,7,1415.0,1064.0
AR_Papum Pare,1,1445450.0,740.0
AR_Papum Pare,2,32327808.0,1161798.0
AR_Papum Pare,3,81543572.0,27819625.0
AR_Papum Pare,4,2836994354.0,46792342.0
AR_Papum Pare,5,2919406111.0,930030.0
AR_Papum Pare,6,2485207427.0,65961765.0
AR_Papum Pare,7,1144303523.0,143293426.0
AR_Shi Yomi,1,225.0,0.0
AR_Shi Yomi,2,283.0,250.0
AR_Shi Yomi,3,1046.0,267.0
AR_Shi Yomi,4,736.0,909.0
AR_Shi Yomi,5,699.0,9.0
AR_Shi Yomi,6,2935.0,178.0
AR_Shi Yomi,7,795.0,685.0
AR_Siang,1,263.0,0.0
AR_Siang,2,383.0,192.0
AR_Siang,3,2613.0,245.0
AR_Siang,4,1414.0,1027.0
AR_Siang,5,1100.0,113.0
AR_Siang,6,6394.0,1535.0
AR_Siang,7,1710.0,1161.0
AR_Tawang,1,791.0,0.0
AR_Tawang,2,2239.0,831.0
AR_Tawang,3,3309.0,1206.0
AR_Tawang,4,3318.0,2195.0
AR_Tawang,5,6017.0,31.0
AR_Tawang,6,9483.0,1910.0
AR_Tawang,7,2518.0,2993.0
AR_Tirap,1,634.0,0.0
AR_Tirap,2,1783.0,531.0
AR_Tirap,3,1255.0,1133.0
AR_Tirap,4,1993.0,872.0
AR_Tirap,5,5539.0,68.0
AR_Tirap,6,14592.0,852.0
AR_Tirap,7,3219.0,2177.0
AR_Upper Dibang Valley,1,158.0,0.0
AR_Upper Dibang Valley,2,567.0,162.0
AR_Upper Dibang Valley,3,565.0,338.0
AR_Upper Dibang Valley,4,321.0,376.0
AR_Upper Dibang Valley,5,425.0,11.0
AR_Upper Dibang Valley,6,1440.0,138.0
AR_Upper Dibang Valley,7,439.0,209.0
AR_Upper Siang,1,529.0,94.0
AR_Upper Siang,2,452.0,381.0
AR_Upper Siang,3,3282.0,417.0
AR_Upper Siang,4,2735.0,1772.0
AR_Upper Siang,5,2591.0,13.0
AR_Upper Siang,6,5359.0,1642.0
AR_Upper Siang,7,2527.0,2039.0
AR_Upper Subansiri,1,240.0,0.0
AR_Upper Subansiri,2,528.0,142.0
AR_Upper Subansiri,3,2797.0,524.0
AR_Upper Subansiri,4,5068.0,2408.0
AR_Upper Subansiri,5,5495.0,58.0
AR_Upper Subansiri,6,4112.0,867.0
AR_Upper Subansiri,7,4859.0,3268.0
AR_West Kameng,1,679.0,0.0
AR_West Kameng,2,5326.0,896.0
AR_West Kameng,3,5885.0,2718.0
AR_West Kameng,4,3988.0,3065.0
AR_West Kameng,5,7384.0,96.0
AR_West Kameng,6,18694.0,3312.0
AR_West Kameng,7,7923.0,3596.0
AR_West Siang,1,1006.0,72.0
AR_West Siang,2,1940.0,906.0
AR_West Siang,3,5242.0,1081.0
AR_West Siang,4,4122.0,2047.0
AR_West Siang,5,4031.0,53.0
AR_West Siang,6,13484.0,4493.0
AR_West Siang,7,2822.0,3664.0
AS_Baksa,1,2054.0,48.0
AS_Baksa,2,5065.0,1168.0
AS_Baksa,3,20242.0,3711.0
AS_Baksa,4,24531.0,7461.0
AS_Baksa,5,18654.0,3208.0
AS_Baksa,6,59427.0,10532.0
AS_Baksa,7,133849.0,17190.0
AS_Barpeta,1,4037.0,44.0
AS_Barpeta,2,12960.0,2826.0
AS_Barpeta,3,52237.0,8271.0
AS_Barpeta,4,64987.0,24102.0
AS_Barpeta,5,34653.0,52068.0
AS_Barpeta,6,121436.0,31527.0
AS_Barpeta,7,213243.0,14433.0
AS_Biswanath,1,1981.0,30.0
AS_Biswanath,2,6717.0,1497.0
AS_Biswanath,3,12953.0,3240.0
AS_Biswanath,4,32194.0,10012.0
AS_Biswanath,5,30129.0,3770.0
AS_Biswanath,6,105762.0,8003.0
AS_Biswanath,7,152323.0,24374.0
AS_Bongaigaon,1,2288.0,96.0
AS_Bongaigaon,2,13763.0,1696.0
AS_Bongaigaon,3,19851.0,6707.0
AS_Bongaigaon,4,26965.0,13969.0
AS_Bongaigaon,5,25624.0,2579.0
AS_Bongaigaon,6,70023.0,10036.0
AS_Bongaigaon,7,111083.0,22024.0
AS_Cachar,1,7119.0,81.0
AS_Cachar,2,15923.0,4219.0
AS_Cachar,3,27260.0,10052.0
AS_Cachar,4,53224.0,15976.0
AS_Cachar,5,104990.0,8274.0
AS_Cachar,6,162287.0,22172.0
AS_Cachar,7,118241.0,40340.0
AS_Charaideo,1,1434.0,56.0
AS_Charaideo,2,2722.0,1184.0
AS_Charaideo,3,12101.0,2098.0
AS_Charaideo,4,18754.0,5883.0
AS_Charaideo,5,17944.0,1038.0
AS_Charaideo,6,43420.0,7369.0
AS_Charaideo,7,103490.0,14056.0
AS_Chirang,1,1193.0,24.0
AS_Chirang,2,7628.0,1149.0
AS_Chirang,3,5688.0,4766.0
AS_Chirang,4,18078.0,5804.0
AS_Chirang,5,14117.0,3055.0
AS_Chirang,6,42897.0,5816.0
AS_Chirang,7,61711.0,12137.0
AS_Darrang,1,3198.0,51.0
AS_Darrang,2,14264.0,2181.0
AS_Darrang,3,16782.0,5867.0
AS_Darrang,4,35101.0,13178.0
AS_Darrang,5,32781.0,3382.0
AS_Darrang,6,72128.0,8797.0
AS_Darrang,7,106474.0,24007.0
AS_Dhemaji,1,3095.0,62.0
