districtid,timeid,dose1,dose2
AN_Nicobars,1,0.0,0.0
AN_Nicobars,2,206.0,0.0
AN_Nicobars,3,78.0,0.0
AN_Nicobars,4,59.0,0.0
AN_Nicobars,5,17.0,0.0
AN_Nicobars,6,36.0,40.0
AN_Nicobars,7,171.0,204.0
AN_Nicobars,8,81.0,6.0
AN_Nicobars,9,99.0,54.0
AN_Nicobars,10,395.0,7.0
AN_Nicobars,11,626.0,85.0
AN_Nicobars,12,457.0,14.0
AN_Nicobars,13,1682.0,85.0
AN_Nicobars,14,2604.0,48.0
AN_Nicobars,15,1292.0,123.0
AN_Nicobars,16,356.0,227.0
AN_Nicobars,17,161.0,751.0
AN_Nicobars,18,39.0,261.0
AN_Nicobars,19,119.0,0.0
AN_Nicobars,20,161.0,0.0
AN_Nicobars,21,10.0,1.0
AN_Nicobars,22,70.0,0.0
AN_Nicobars,23,1193.0,1.0
AN_Nicobars,24,3719.0,51.0
AN_Nicobars,25,2059.0,1509.0
AN_Nicobars,26,433.0,2375.0
AN_Nicobars,27,2646.0,1131.0
AN_Nicobars,28,1636.0,653.0
AN_Nicobars,29,1048.0,286.0
AN_Nicobars,30,628.0,198.0
AN_North and Middle Andaman,1,0.0,0.0
AN_North and Middle Andaman,2,390.0,0.0
AN_North and Middle Andaman,3,599.0,0.0
AN_North and Middle Andaman,4,123.0,0.0
AN_North and Middle Andaman,5,1.0,0.0
AN_North and Middle Andaman,6,43.0,367.0
AN_North and Middle Andaman,7,280.0,483.0
AN_North and Middle Andaman,8,391.0,42.0
AN_North and Middle Andaman,9,190.0,50.0
AN_North and Middle Andaman,10,499.0,33.0
AN_North and Middle Andaman,11,329.0,124.0
AN_North and Middle Andaman,12,982.0,72.0
AN_North and Middle Andaman,13,3277.0,148.0
AN_North and Middle Andaman,14,15367.0,318.0
AN_North and Middle Andaman,15,5847.0,330.0
AN_North and Middle Andaman,16,1196.0,380.0
AN_North and Middle Andaman,17,276.0,510.0
AN_North and Middle Andaman,18,260.0,411.0
AN_North and Middle Andaman,19,935.0,12.0
AN_North and Middle Andaman,20,1089.0,2.0
AN_North and Middle Andaman,21,357.0,7.0
AN_North and Middle Andaman,22,901.0,2.0
AN_North and Middle Andaman,23,1329.0,1.0
AN_North and Middle Andaman,24,5036.0,152.0
AN_North and Middle Andaman,25,5541.0,2730.0
AN_North and Middle Andaman,26,1452.0,13236.0
AN_North and Middle Andaman,27,4895.0,6202.0
AN_North and Middle Andaman,28,5142.0,1787.0
AN_North and Middle Andaman,29,6386.0,823.0
AN_North and Middle Andaman,30,4930.0,1059.0
AN_South Andaman,1,23.0,0.0
AN_South Andaman,2,301.0,0.0
AN_South Andaman,3,463.0,0.0
AN_South Andaman,4,538.0,0.0
AN_South Andaman,5,242.0,0.0
AN_South Andaman,6,1588.0,539.0
AN_South Andaman,7,871.0,327.0
AN_South Andaman,8,1787.0,202.0
AN_South Andaman,9,2816.0,426.0
AN_South Andaman,10,962.0,831.0
AN_South Andaman,11,1001.0,1260.0
AN_South Andaman,12,1354.0,57.0
AN_South Andaman,13,6906.0,114.0
AN_South Andaman,14,19617.0,632.0
AN_South Andaman,15,12206.0,2276.0
AN_South Andaman,16,5654.0,1184.0
AN_South Andaman,17,3200.0,1180.0
AN_South Andaman,18,2120.0,929.0
AN_South Andaman,19,2493.0,14.0
AN_South Andaman,20,3462.0,8.0
AN_South Andaman,21,3287.0,49.0
AN_South Andaman,22,2766.0,127.0
AN_South Andaman,23,2971.0,152.0
AN_South Andaman,24,13373.0,592.0
AN_South Andaman,25,8401.0,4233.0
AN_South Andaman,26,4881.0,16103.0
AN_South Andaman,27,7036.0,13378.0
AN_South Andaman,28,5267.0,6839.0
AN_South Andaman,29,7267.0,3964.0
AN_South Andaman,30,19732.0,4480.0
AP_Anantapur,1,287.0,0.0
AP_Anantapur,2,3802.0,0.0
AP_Anantapur,3,3115.0,0.0
AP_Anantapur,4,5029.0,0.0
AP_Anantapur,5,3090.0,730.0
AP_Anantapur,6,7823.0,6535.0
AP_Anantapur,7,12487.0,2936.0
AP_Anantapur,8,5747.0,1603.0
AP_Anantapur,9,11607.0,1665.0
AP_Anantapur,10,36732.0,2275.0
AP_Anantapur,11,76134.0,8658.0
AP_Anantapur,12,41180.0,2254.0
AP_Anantapur,13,56584.0,3931.0
AP_Anantapur,14,36573.0,2764.0
AP_Anantapur,15,63040.0,33895.0
AP_Anantapur,16,49088.0,38962.0
AP_Anantapur,17,28427.0,54745.0
AP_Anantapur,18,4609.0,11140.0
AP_Anantapur,19,5383.0,5770.0
AP_Anantapur,20,117444.0,7162.0
AP_Anantapur,21,60972.0,8832.0
AP_Anantapur,22,50427.0,8729.0
AP_Anantapur,23,25728.0,736.0
AP_Anantapur,24,122622.0,21682.0
AP_Anantapur,25,105115.0,28536.0
AP_Anantapur,26,19108.0,979.0
AP_Anantapur,27,85573.0,93324.0
AP_Anantapur,28,29879.0,59407.0
AP_Anantapur,29,84350.0,66175.0
AP_Anantapur,30,212419.0,123921.0
AP_Chittoor,1,424.0,0.0
AP_Chittoor,2,5540.0,0.0
AP_Chittoor,3,5056.0,0.0
AP_Chittoor,4,11874.0,0.0
AP_Chittoor,5,7110.0,340.0
AP_Chittoor,6,8949.0,6661.0
AP_Chittoor,7,11346.0,3951.0
AP_Chittoor,8,13430.0,4543.0
AP_Chittoor,9,17754.0,6309.0
AP_Chittoor,10,53306.0,4930.0
AP_Chittoor,11,75213.0,5476.0
AP_Chittoor,12,54834.0,3539.0
AP_Chittoor,13,50493.0,9503.0
AP_Chittoor,14,69936.0,7093.0
AP_Chittoor,15,56746.0,49413.0
AP_Chittoor,16,62590.0,40254.0
AP_Chittoor,17,18804.0,39680.0
AP_Chittoor,18,2349.0,9929.0
AP_Chittoor,19,4244.0,19053.0
AP_Chittoor,20,141915.0,3213.0
AP_Chittoor,21,72600.0,18788.0
AP_Chittoor,22,51933.0,2287.0
AP_Chittoor,23,32733.0,3007.0
AP_Chittoor,24,155841.0,30046.0
AP_Chittoor,25,106254.0,24087.0
AP_Chittoor,26,10327.0,2505.0
AP_Chittoor,27,88924.0,49385.0
AP_Chittoor,28,19278.0,64035.0
AP_Chittoor,29,79977.0,149687.0
AP_Chittoor,30,275811.0,83150.0
AP_East Godavari,1,1012.0,0.0
AP_East Godavari,2,11148.0,0.0
AP_East Godavari,3,9677.0,0.0
AP_East Godavari,4,13061.0,0.0
