Node1,Node2
AP_anantapur,AP_chittoor
AP_anantapur,AP_kurnool
AP_anantapur,AP_y.s.r. kadapa
AP_anantapur,KA_ballari
AP_anantapur,KA_chikkaballapura
AP_anantapur,KA_chitradurga
AP_anantapur,KA_tumakuru
AP_chittoor,AP_s.p.s. nellore
AP_chittoor,AP_y.s.r. kadapa
AP_chittoor,KA_chikkaballapura
AP_chittoor,KA_kolar
AP_chittoor,TN_krishnagiri
AP_chittoor,TN_thiruvallur
AP_chittoor,TN_vellore
AP_east godavari,AP_visakhapatnam
AP_east godavari,AP_west godavari
AP_east godavari,CT_sukma
AP_east godavari,OR_malkangiri
AP_east godavari,TG_bhadradri kothagudem
AP_guntur,AP_krishna
AP_guntur,AP_prakasam
AP_guntur,TG_nagarkurnool
AP_guntur,TG_nalgonda
AP_guntur,TG_suryapet
AP_krishna,AP_west godavari
AP_krishna,TG_khammam
AP_krishna,TG_suryapet
AP_kurnool,AP_prakasam
AP_kurnool,AP_y.s.r. kadapa
AP_kurnool,KA_ballari
AP_kurnool,KA_raichur
AP_kurnool,TG_jogulamba gadwal
AP_kurnool,TG_nagarkurnool
AP_kurnool,TG_wanaparthy
AP_prakasam,AP_s.p.s. nellore
AP_prakasam,AP_y.s.r. kadapa
AP_prakasam,TG_nagarkurnool
AP_s.p.s. nellore,AP_y.s.r. kadapa
AP_s.p.s. nellore,TN_thiruvallur
AP_srikakulam,AP_vizianagaram
AP_srikakulam,OR_gajapati
AP_srikakulam,OR_ganjam
AP_srikakulam,OR_rayagada
AP_visakhapatnam,AP_vizianagaram
AP_visakhapatnam,OR_koraput
AP_visakhapatnam,OR_malkangiri
AP_vizianagaram,OR_koraput
AP_vizianagaram,OR_rayagada
AP_west godavari,TG_bhadradri kothagudem
AP_west godavari,TG_khammam
AR_anjaw,AR_changlang
AR_anjaw,AR_lohit
AR_changlang,AR_lohit
AR_changlang,AR_namsai
AR_changlang,AR_tirap
AR_changlang,AS_tinsukia
AR_east kameng,AR_kurung kumey
AR_east kameng,AR_pakke kessang
AR_east kameng,AR_papum pare
AR_east kameng,AR_tawang
AR_east kameng,AR_west kameng
AR_east siang,AR_lower dibang valley
AR_east siang,AR_lower siang
AR_east siang,AR_siang
AR_east siang,AR_upper siang
AR_east siang,AS_dhemaji
AR_east siang,AS_tinsukia
AR_kamle,AR_kra daadi
AR_kamle,AR_lower siang
AR_kamle,AR_lower subansiri
AR_kamle,AR_papum pare
AR_kamle,AR_upper subansiri
AR_kamle,AS_dhemaji
AR_kamle,AS_lakhimpur
AR_kra daadi,AR_kurung kumey
AR_kra daadi,AR_lower subansiri
AR_kra daadi,AR_papum pare
AR_kra daadi,AR_upper subansiri
AR_kurung kumey,AR_papum pare
AR_kurung kumey,AR_upper subansiri
AR_lepa rada,AR_lower siang
AR_lepa rada,AR_upper subansiri
AR_lepa rada,AR_west siang
AR_lohit,AR_lower dibang valley
AR_lohit,AR_namsai
AR_lohit,AS_tinsukia
AR_longding,AR_tirap
AR_longding,AS_charaideo
AR_longding,AS_dibrugarh
AR_longding,NL_mon
AR_lower dibang valley,AR_upper dibang valley
AR_lower dibang valley,AR_upper siang
AR_lower dibang valley,AS_dhemaji
AR_lower dibang valley,AS_tinsukia
AR_lower siang,AR_siang
AR_lower siang,AR_upper subansiri
AR_lower siang,AR_west siang
AR_lower siang,AS_dhemaji
AR_lower subansiri,AR_papum pare
AR_namsai,AS_tinsukia
AR_pakke kessang,AR_papum pare
AR_pakke kessang,AR_west kameng
AR_pakke kessang,AS_biswanath
AR_pakke kessang,AS_sonitpur
AR_papum pare,AS_biswanath
AR_papum pare,AS_lakhimpur
AR_shi yomi,AR_siang
AR_shi yomi,AR_upper siang
AR_shi yomi,AR_upper subansiri
AR_shi yomi,AR_west siang
AR_siang,AR_upper siang
AR_siang,AR_west siang
AR_tawang,AR_west kameng
AR_tirap,AS_dibrugarh
AR_tirap,AS_tinsukia
AR_upper dibang valley,AR_upper siang
AR_upper subansiri,AR_west siang
AR_west kameng,AS_sonitpur
AR_west kameng,AS_udalguri
AS_baksa,AS_barpeta
AS_baksa,AS_chirang
AS_baksa,AS_darrang
AS_baksa,AS_kamrup
AS_baksa,AS_nalbari
AS_baksa,AS_udalguri
AS_barpeta,AS_bongaigaon
AS_barpeta,AS_chirang
AS_barpeta,AS_goalpara
AS_barpeta,AS_kamrup
AS_barpeta,AS_nalbari
AS_biswanath,AS_golaghat
AS_biswanath,AS_lakhimpur
AS_biswanath,AS_nagaon
AS_biswanath,AS_sonitpur
AS_bongaigaon,AS_chirang
AS_bongaigaon,AS_dhubri
AS_bongaigaon,AS_goalpara
AS_bongaigaon,AS_kokrajhar
AS_cachar,AS_dima hasao
AS_cachar,AS_hailakandi
AS_cachar,AS_karimganj
AS_cachar,ML_east jaintia hills
AS_cachar,MN_jiribam
AS_cachar,MN_pherzawl
AS_cachar,MN_tamenglong
AS_cachar,MZ_aizawl
AS_cachar,MZ_kolasib
AS_charaideo,AS_dibrugarh
AS_charaideo,AS_sivasagar
AS_charaideo,NL_mon
AS_chirang,AS_kokrajhar
AS_darrang,AS_kamrup
AS_darrang,AS_kamrup metropolitan
AS_darrang,AS_morigaon
AS_darrang,AS_sonitpur
AS_darrang,AS_udalguri
AS_dhemaji,AS_dibrugarh
AS_dhemaji,AS_lakhimpur
AS_dhemaji,AS_tinsukia
AS_dhubri,AS_goalpara
AS_dhubri,AS_kokrajhar
AS_dhubri,AS_south salmara mankachar
AS_dhubri,WB_cooch behar
AS_dibrugarh,AS_lakhimpur
AS_dibrugarh,AS_majuli
AS_dibrugarh,AS_sivasagar
AS_dibrugarh,AS_tinsukia
AS_dima hasao,AS_hojai
AS_dima hasao,AS_karbi anglong
AS_dima hasao,AS_west karbi anglong
AS_dima hasao,ML_east jaintia hills
AS_dima hasao,ML_west jaintia hills
AS_dima hasao,MN_tamenglong
AS_dima hasao,NL_peren
AS_goalpara,AS_kamrup
AS_goalpara,AS_south salmara mankachar
AS_goalpara,ML_north garo hills
AS_goalpara,ML_west garo hills
AS_golaghat,AS_jorhat
AS_golaghat,AS_karbi anglong
AS_golaghat,AS_lakhimpur
AS_golaghat,AS_majuli
AS_golaghat,AS_nagaon
AS_golaghat,NL_dimapur
AS_golaghat,NL_kohima
AS_golaghat,NL_wokha
AS_hailakandi,AS_karimganj
AS_hailakandi,MZ_kolasib
AS_hailakandi,MZ_mamit
AS_hojai,AS_karbi anglong
AS_hojai,AS_nagaon
AS_hojai,AS_west karbi anglong
AS_jorhat,AS_majuli
AS_jorhat,AS_sivasagar
AS_jorhat,NL_mokokchung
AS_jorhat,NL_wokha
AS_kamrup,AS_kamrup metropolitan
AS_kamrup,AS_nalbari
AS_kamrup,ML_north garo hills
AS_kamrup,ML_west khasi hills
AS_kamrup metropolitan,AS_morigaon
AS_karbi anglong,AS_nagaon
AS_karbi anglong,NL_dimapur
AS_karbi anglong,NL_peren
AS_karimganj,MZ_mamit
AS_karimganj,TR_north tripura
AS_kokrajhar,WB_alipurduar
AS_kokrajhar,WB_cooch behar
AS_lakhimpur,AS_majuli
AS_majuli,AS_sivasagar
AS_morigaon,AS_nagaon
AS_morigaon,AS_sonitpur
AS_morigaon,AS_west karbi anglong
AS_nagaon,AS_sonitpur
AS_nagaon,AS_west karbi anglong
AS_sivasagar,NL_longleng
AS_sivasagar,NL_mokokchung
AS_sivasagar,NL_mon
AS_sonitpur,AS_udalguri
AS_south salmara mankachar,ML_north garo hills
AS_south salmara mankachar,ML_south west garo hills
AS_south salmara mankachar,ML_west garo hills
AS_west karbi anglong,ML_west jaintia hills
BR_araria,BR_kishanganj
BR_araria,BR_madhepura
BR_araria,BR_purnia
BR_araria,BR_supaul
BR_arwal,BR_bhojpur
BR_arwal,BR_gaya
BR_arwal,BR_jehanabad
BR_arwal,BR_patna
BR_arwal,BR_rohtas
BR_arwal,MH_aurangabad
BR_banka,BR_bhagalpur
BR_banka,BR_jamui
BR_banka,BR_munger
BR_banka,JH_deoghar
BR_banka,JH_dumka
BR_banka,JH_godda
BR_begusarai,BR_khagaria
BR_begusarai,BR_lakhisarai
BR_begusarai,BR_munger
BR_begusarai,BR_patna
BR_begusarai,BR_samastipur
BR_bhagalpur,BR_katihar
BR_bhagalpur,BR_khagaria
BR_bhagalpur,BR_madhepura
BR_bhagalpur,BR_munger
BR_bhagalpur,BR_purnia
BR_bhagalpur,JH_godda
BR_bhagalpur,JH_sahibganj
BR_bhojpur,BR_buxar
BR_bhojpur,BR_patna
BR_bhojpur,BR_rohtas
BR_bhojpur,BR_saran
BR_bhojpur,UP_ballia
BR_buxar,BR_kaimur
BR_buxar,BR_rohtas
BR_buxar,UP_ballia
BR_buxar,UP_ghazipur
BR_darbhanga,BR_madhubani
