District_Key,State,District,mvacc,fvacc
AN_Nicobars,Andaman and Nicobar Islands,Nicobars,16267.0,13922.0
AN_North and Middle Andaman,Andaman and Nicobar Islands,North and Middle Andaman,50819.0,46493.0
AN_South Andaman,Andaman and Nicobar Islands,South Andaman,108324.0,94124.0
AP_Anantapur,Andhra Pradesh,Anantapur,893118.0,1067715.0
AP_Chittoor,Andhra Pradesh,Chittoor,1004937.0,1201195.0
AP_East Godavari,Andhra Pradesh,East Godavari,1125958.0,1353691.0
AP_Guntur,Andhra Pradesh,Guntur,1087696.0,1262966.0
AP_Krishna,Andhra Pradesh,Krishna,1090145.0,1223327.0
AP_Kurnool,Andhra Pradesh,Kurnool,744366.0,990736.0
AP_Prakasam,Andhra Pradesh,Prakasam,800299.0,947172.0
AP_S.P.S. Nellore,Andhra Pradesh,S.P.S. Nellore,783012.0,903421.0
AP_Srikakulam,Andhra Pradesh,Srikakulam,588757.0,776653.0
AP_Visakhapatnam,Andhra Pradesh,Visakhapatnam,1213497.0,1284911.0
AP_Vizianagaram,Andhra Pradesh,Vizianagaram,508414.0,632536.0
AP_West Godavari,Andhra Pradesh,West Godavari,915758.0,1158484.0
AP_Y.S.R. Kadapa,Andhra Pradesh,Y.S.R. Kadapa,648196.0,790287.0
AR_Anjaw,Arunachal Pradesh,Anjaw,7421.0,6049.0
AR_Changlang,Arunachal Pradesh,Changlang,52485.0,39999.0
AR_East Kameng,Arunachal Pradesh,East Kameng,14088.0,12512.0
AR_East Siang,Arunachal Pradesh,East Siang,35092.0,32296.0
AR_Kamle,Arunachal Pradesh,Kamle,4465.0,3271.0
AR_Kra Daadi,Arunachal Pradesh,Kra Daadi,4013.0,3565.0
AR_Kurung Kumey,Arunachal Pradesh,Kurung Kumey,5488.0,5830.0
AR_Lepa Rada,Arunachal Pradesh,Lepa Rada,10167.0,7745.0
AR_Lohit,Arunachal Pradesh,Lohit,19439.0,15148.0
AR_Longding,Arunachal Pradesh,Longding,13295.0,7939.0
AR_Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,20836.0,16988.0
AR_Lower Siang,Arunachal Pradesh,Lower Siang,10902.0,9356.0
AR_Lower Subansiri,Arunachal Pradesh,Lower Subansiri,17633.0,15328.0
AR_Namsai,Arunachal Pradesh,Namsai,37966.0,32484.0
AR_Pakke Kessang,Arunachal Pradesh,Pakke Kessang,5619.0,5027.0
AR_Papum Pare,Arunachal Pradesh,Papum Pare,93812.0,67749.0
AR_Shi Yomi,Arunachal Pradesh,Shi Yomi,4608.0,4409.0
AR_Siang,Arunachal Pradesh,Siang,9541.0,8605.0
AR_Tawang,Arunachal Pradesh,Tawang,20213.0,16614.0
AR_Tirap,Arunachal Pradesh,Tirap,19961.0,14679.0
AR_Upper Dibang Valley,Arunachal Pradesh,Upper Dibang Valley,3222.0,1927.0
AR_Upper Siang,Arunachal Pradesh,Upper Siang,12729.0,11102.0
AR_Upper Subansiri,Arunachal Pradesh,Upper Subansiri,15934.0,14427.0
AR_West Kameng,Arunachal Pradesh,West Kameng,35682.0,27863.0
AR_West Siang,Arunachal Pradesh,West Siang,24017.0,20941.0
AS_Baksa,Assam,Baksa,161752.0,145325.0
AS_Barpeta,Assam,Barpeta,334955.0,301784.0
AS_Biswanath,Assam,Biswanath,199345.0,193578.0
AS_Bongaigaon,Assam,Bongaigaon,167122.0,159531.0
AS_Cachar,Assam,Cachar,318223.0,271871.0
AS_Charaideo,Assam,Charaideo,118687.0,112830.0
AS_Chirang,Assam,Chirang,101636.0,82407.0
AS_Darrang,Assam,Darrang,178438.0,159711.0
AS_Dhemaji,Assam,Dhemaji,168030.0,167597.0
AS_Dhubri,Assam,Dhubri,218910.0,183452.0
AS_Dibrugarh,Assam,Dibrugarh,359121.0,335778.0
AS_Dima Hasao,Assam,Dima Hasao,60304.0,43214.0
AS_Goalpara,Assam,Goalpara,178545.0,168299.0
AS_Golaghat,Assam,Golaghat,303589.0,274327.0
AS_Hailakandi,Assam,Hailakandi,150144.0,129305.0
AS_Hojai,Assam,Hojai,204419.0,171329.0
AS_Jorhat,Assam,Jorhat,309141.0,293918.0
AS_Kamrup,Assam,Kamrup,390467.0,361614.0
AS_Kamrup Metropolitan,Assam,Kamrup Metropolitan,746106.0,587937.0
AS_Karbi Anglong,Assam,Karbi Anglong,103064.0,84126.0
AS_Karimganj,Assam,Karimganj,192259.0,151642.0
AS_Kokrajhar,Assam,Kokrajhar,169648.0,142666.0
AS_Lakhimpur,Assam,Lakhimpur,261914.0,247578.0
AS_Majuli,Assam,Majuli,67678.0,62809.0
AS_Morigaon,Assam,Morigaon,206051.0,198764.0
AS_Nagaon,Assam,Nagaon,384039.0,355489.0
AS_Nalbari,Assam,Nalbari,164472.0,153398.0
AS_Sivasagar,Assam,Sivasagar,213607.0,200652.0
AS_Sonitpur,Assam,Sonitpur,359411.0,345859.0
AS_South Salmara Mankachar,Assam,South Salmara Mankachar,83711.0,71859.0
AS_Tinsukia,Assam,Tinsukia,251799.0,232087.0
AS_Udalguri,Assam,Udalguri,139661.0,126642.0
AS_West Karbi Anglong,Assam,West Karbi Anglong,50046.0,37263.0
BR_Araria,Bihar,Araria,343879.0,326895.0
BR_Arwal,Bihar,Arwal,124793.0,117592.0
BR_Aurangabad,Bihar,Aurangabad,332978.0,279664.0
BR_Banka,Bihar,Banka,296289.0,268871.0
BR_Begusarai,Bihar,Begusarai,435677.0,390655.0
BR_Bhagalpur,Bihar,Bhagalpur,565781.0,499081.0
BR_Bhojpur,Bihar,Bhojpur,387016.0,308473.0
