stateid,timeid,dose1,dose2
Andaman and Nicobar Islands,1,142585.0,59896.0
Andhra Pradesh,1,1043434.0,395280.0
Arunachal Pradesh,1,32647.0,12316.0
Assam,1,74202.0,13119.0
Bihar,1,811747.0,98510.0
Chandigarh,1,733579.0,244351.0
Chhattisgarh,1,245262.0,72095.0
Delhi,1,840906.0,379384.0
Dadra and Nagar Haveli and Daman and Diu,1,37922.0,13642.0
Goa,1,584539.0,171606.0
Gujarat,1,762723.0,269206.0
Himachal Pradesh,1,396818.0,127147.0
Haryana,1,424693.0,140517.0
Jharkhand,1,373514.0,83787.0
Jammu and Kashmir,1,307165.0,79284.0
Karnataka,1,363011.0,122734.0
Kerala,1,602787.0,210762.0
Ladakh,1,106729.0,42827.0
Lakshadweep,1,51678.0,17875.0
Maharashtra,1,670562.0,216553.0
Meghalaya,1,67223.0,21964.0
Manipur,1,18929.0,5701.0
Madhya Pradesh,1,572841.0,101467.0
Mizoram,1,40647.0,14893.0
Nagaland,1,35944.0,7950.0
Odisha,1,689061.0,182855.0
Punjab,1,256804.0,59903.0
Puducherry,1,26594.0,5148.0
Rajasthan,1,1195059.0,370381.0
Sikkim,1,99922.0,31719.0
Telangana,1,250539.0,127093.0
Tamil Nadu,1,588700.0,132475.0
Tripura,1,659337.0,283463.0
Uttar Pradesh,1,1105036.0,288111.0
Uttarakhand,1,211186.0,72232.0
West Bengal,1,540958.0,173055.0
