stateid,timeid,dose1,dose2
Andaman and Nicobar Islands,1,23.0,0.0
Andaman and Nicobar Islands,2,897.0,0.0
Andaman and Nicobar Islands,3,1140.0,0.0
Andaman and Nicobar Islands,4,720.0,0.0
Andaman and Nicobar Islands,5,260.0,0.0
Andaman and Nicobar Islands,6,1667.0,946.0
Andaman and Nicobar Islands,7,1322.0,1014.0
Andaman and Nicobar Islands,8,2259.0,250.0
Andaman and Nicobar Islands,9,3105.0,530.0
Andaman and Nicobar Islands,10,1856.0,871.0
Andaman and Nicobar Islands,11,1956.0,1469.0
Andaman and Nicobar Islands,12,2793.0,143.0
Andaman and Nicobar Islands,13,11865.0,347.0
Andaman and Nicobar Islands,14,37588.0,998.0
Andaman and Nicobar Islands,15,19345.0,2729.0
Andaman and Nicobar Islands,16,7206.0,1791.0
Andaman and Nicobar Islands,17,3637.0,2441.0
Andaman and Nicobar Islands,18,2419.0,1601.0
Andaman and Nicobar Islands,19,3547.0,26.0
Andaman and Nicobar Islands,20,4712.0,10.0
Andaman and Nicobar Islands,21,3654.0,57.0
Andaman and Nicobar Islands,22,3737.0,129.0
Andaman and Nicobar Islands,23,5493.0,154.0
Andaman and Nicobar Islands,24,22128.0,795.0
Andaman and Nicobar Islands,25,16001.0,8472.0
Andaman and Nicobar Islands,26,6766.0,31714.0
Andaman and Nicobar Islands,27,14577.0,20711.0
Andaman and Nicobar Islands,28,12045.0,9279.0
Andaman and Nicobar Islands,29,14701.0,5073.0
Andaman and Nicobar Islands,30,7602.0,2699.0
Andaman and Nicobar Islands,31,17688.0,3038.0
Andhra Pradesh,1,4216.0,0.0
Andhra Pradesh,2,66164.0,0.0
Andhra Pradesh,3,63191.0,0.0
Andhra Pradesh,4,112367.0,0.0
Andhra Pradesh,5,67569.0,6233.0
Andhra Pradesh,6,100311.0,81237.0
Andhra Pradesh,7,122137.0,50342.0
Andhra Pradesh,8,117103.0,45307.0
Andhra Pradesh,9,195605.0,54193.0
Andhra Pradesh,10,445838.0,61917.0
Andhra Pradesh,11,667934.0,73728.0
Andhra Pradesh,12,604379.0,47066.0
Andhra Pradesh,13,714537.0,101863.0
Andhra Pradesh,14,728589.0,76034.0
Andhra Pradesh,15,533378.0,528629.0
Andhra Pradesh,16,631642.0,392788.0
Andhra Pradesh,17,261632.0,454871.0
Andhra Pradesh,18,48122.0,193005.0
Andhra Pradesh,19,79646.0,180783.0
Andhra Pradesh,20,1710375.0,133539.0
Andhra Pradesh,21,956613.0,90939.0
Andhra Pradesh,22,1025779.0,47528.0
Andhra Pradesh,23,593828.0,32276.0
Andhra Pradesh,24,2069992.0,254321.0
Andhra Pradesh,25,1251921.0,361815.0
Andhra Pradesh,26,299752.0,204683.0
Andhra Pradesh,27,1035127.0,644884.0
Andhra Pradesh,28,402582.0,537279.0
Andhra Pradesh,29,1186472.0,917332.0
Andhra Pradesh,30,1380322.0,567504.0
Andhra Pradesh,31,1039018.0,345116.0
Arunachal Pradesh,1,225.0,0.0
Arunachal Pradesh,2,13804.0,0.0
Arunachal Pradesh,3,406048.0,0.0
Arunachal Pradesh,4,271528.0,0.0
Arunachal Pradesh,5,765201.0,1122.0
Arunachal Pradesh,6,20690999.0,357743.0
Arunachal Pradesh,7,2955590.0,125619.0
Arunachal Pradesh,8,4760871.0,137555.0
Arunachal Pradesh,9,3948466.0,551355.0
Arunachal Pradesh,10,5889789.0,664283.0
Arunachal Pradesh,11,6080759.0,18730237.0
Arunachal Pradesh,12,13668896.0,-937255.0
