State,vaccinateddose1ratio,vaccinateddose2ratio
uttar pradesh,0.241467893116772,0.04594382386020891
bihar,0.24176282887637102,0.04667908338268678
jharkhand,0.2666995653649279,0.06471814986564563
west bengal,0.27187312913131767,0.10286534434556072
tamil nadu,0.3014415007797272,0.06790820079495996
punjab,0.3029923436033544,0.09078334409507609
nagaland,0.3231631810329229,0.08488240092757046
maharashtra,0.32376920092598016,0.11402685700479308
meghalaya,0.3265373257981677,0.08674372381305806
odisha,0.35759229629959993,0.10661125360334289
andhra pradesh,0.36166409301252933,0.12576529061680292
assam,0.36628239132647317,0.07828408615178262
chhattisgarh,0.36732974236488597,0.10866547207815731
manipur,0.4110541586683073,0.09326653112934616
haryana,0.4138659143208388,0.12589037271302145
rajasthan,0.41622804616245296,0.13105417706314734
madhya pradesh,0.4359910263990808,0.08390328700796974
karnataka,0.4364056041825936,0.12828141256110107
jammu and kashmir,0.45734980307467277,0.13126683337981973
delhi,0.4914838573711928,0.1944848984160714
puducherry,0.49383109780576673,0.1259951296242727
kerala,0.5173220212942795,0.19929955225789714
uttarakhand,0.5448837888096042,0.17077177618891065
mizoram,0.6016272240581987,0.1984048574287782
andaman and nicobar islands,0.6114572193567204,0.2556275799369911
tripura,0.6624256889853527,0.22504210084223458
chandigarh,0.695039082855654,0.23151357240987255
himachal pradesh,0.7212055411224132,0.2205073214732624
goa,0.7629624043138882,0.22619048435255684
lakshadweep,0.8015448327206738,0.2772478401811611
sikkim,0.820255266739494,0.25884040833506666
dadra and nagar haveli,1.0173140650957642,0.1207562211056446
daman and diu,1.022499763614762,0.20109600529502933
arunachal pradesh,6866.821247977383,206.77571659727678
gujarat,467128.5482441903,51254.86092500273
