stateid,vaccinationratio,populationratio,ratioofratios
dadra and nagar haveli,0.44120985215866043,0.7738903798513626,0.5701193135950359
nagaland,0.7523847773701235,0.9309070715923209,0.8082275882630968
jammu and kashmir,0.7464687250212607,0.8885620138474146,0.8400862442781012
delhi,0.7397172033543211,0.8679572767250237,0.8522507077138889
uttar pradesh,0.7792759347963198,0.9124365013149343,0.8540604564518041
arunachal pradesh,0.8059174374483583,0.9382318829211443,0.8589746864486946
jharkhand,0.8223346310118775,0.9484654597389357,0.8670158966444855
manipur,0.8552455093986634,0.9851395745544583,0.8681465362768102
lakshadweep,0.8319943102494534,0.9464722398333484,0.8790477683697814
goa,0.8596636196403641,0.9733000514110994,0.8832462490821981
punjab,0.7979464196655451,0.8951060028491479,0.8914546624932231
gujarat,0.8315160428870829,0.9192528974705998,0.9045563469803227
meghalaya,0.8945028556593977,0.9887554362689632,0.904675537395552
maharashtra,0.8434029898424685,0.9294031034360559,0.9074673698897281
madhya pradesh,0.8491049332464198,0.9309320997228939,0.9121018960450163
odisha,0.8973625497907078,0.9787831833625807,0.9168144335171813
haryana,0.8072477707382472,0.8786188745921186,0.918768984006855
chandigarh,0.7546896226228866,0.8176636017793454,0.9229830225786999
daman and diu,0.577820433961864,0.6183990791811099,0.9343811357659514
assam,0.8958963376813452,0.9577582478885868,0.9354096815729664
sikkim,0.8328783514908655,0.8899216887980933,0.9359007224733795
west bengal,0.8943818377474374,0.9499682187369543,0.9414860624880456
bihar,0.8729205751333025,0.9178884795222505,0.9510094032203636
rajasthan,0.904200622324948,0.9281720003520576,0.9741735604844607
tamil nadu,0.9795989484547097,0.9964325615920648,0.9831061189826446
uttarakhand,0.9537175300456313,0.9631641958490575,0.9901920504892744
tripura,0.9521209261439372,0.9600747128644412,0.991715450252019
chhattisgarh,0.9860537782411236,0.9906028998133313,0.9954077243534569
kerala,1.0862531101289639,1.0843078720382304,1.0017939905638396
andaman and nicobar islands,0.8810159055926116,0.8759753735132177,1.005754193818461
mizoram,0.9819813106061632,0.975740943819901,1.0063955159674165
puducherry,1.0531766617374936,1.037437694996498,1.0151709994893223
karnataka,0.9901060440486403,0.9729380862777665,1.01764547817894
himachal pradesh,0.9973037075952007,0.9715256702355313,1.0265335627759788
andhra pradesh,1.0818851357019696,0.9928487357825875,1.0896777089102112
